order_id,quantity,item_name,choice_description,item_price,unit_price,choice_description_list,n_accompagnements
1,1,Chips and Fresh Tomato Salsa,,2.39,2.39,,0
1,1,Izze,[Clementine],3.39,3.39,['Clementine'],1
1,1,Nantucket Nectar,[Apple],3.39,3.39,['Apple'],1
1,1,Chips and Tomatillo-Green Chili Salsa,,2.39,2.39,,0
2,2,Chicken Bowl,"[Tomatillo-Red Chili Salsa (Hot), [Black Beans, Rice, Cheese, Sour Cream]]",16.98,8.49,"['Tomatillo-RedChiliSalsa(Hot)', 'BlackBeans', 'Rice', 'Cheese', 'SourCream']",5
3,1,Chicken Bowl,"[Fresh Tomato Salsa (Mild), [Rice, Cheese, Sour Cream, Guacamole, Lettuce]]",10.98,10.98,"['FreshTomatoSalsa(Mild)', 'Rice', 'Cheese', 'SourCream', 'Guacamole', 'Lettuce']",6
3,1,Side of Chips,,1.69,1.69,,0
4,1,Steak Burrito,"[Tomatillo Red Chili Salsa, [Fajita Vegetables, Black Beans, Pinto Beans, Cheese, Sour Cream, Guacamole, Lettuce]]",11.75,11.75,"['TomatilloRedChiliSalsa', 'FajitaVegetables', 'BlackBeans', 'PintoBeans', 'Cheese', 'SourCream', 'Guacamole', 'Lettuce']",8
4,1,Steak Soft Tacos,"[Tomatillo Green Chili Salsa, [Pinto Beans, Cheese, Sour Cream, Lettuce]]",9.25,9.25,"['TomatilloGreenChiliSalsa', 'PintoBeans', 'Cheese', 'SourCream', 'Lettuce']",5
5,1,Steak Burrito,"[Fresh Tomato Salsa, [Rice, Black Beans, Pinto Beans, Cheese, Sour Cream, Lettuce]]",9.25,9.25,"['FreshTomatoSalsa', 'Rice', 'BlackBeans', 'PintoBeans', 'Cheese', 'SourCream', 'Lettuce']",7
5,1,Chips and Guacamole,,4.45,4.45,,0
6,1,Chicken Crispy Tacos,"[Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream]]",8.75,8.75,"['RoastedChiliCornSalsa', 'FajitaVegetables', 'Rice', 'BlackBeans', 'Cheese', 'SourCream']",6
6,1,Chicken Soft Tacos,"[Roasted Chili Corn Salsa, [Rice, Black Beans, Cheese, Sour Cream]]",8.75,8.75,"['RoastedChiliCornSalsa', 'Rice', 'BlackBeans', 'Cheese', 'SourCream']",5
7,1,Chicken Bowl,"[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Cheese, Sour Cream, Guacamole]]",11.25,11.25,"['FreshTomatoSalsa', 'FajitaVegetables', 'Rice', 'Cheese', 'SourCream', 'Guacamole']",6
7,1,Chips and Guacamole,,4.45,4.45,,0
8,1,Chips and Tomatillo-Green Chili Salsa,,2.39,2.39,,0
8,1,Chicken Burrito,"[Tomatillo-Green Chili Salsa (Medium), [Pinto Beans, Cheese, Sour Cream]]",8.49,8.49,"['Tomatillo-GreenChiliSalsa(Medium)', 'PintoBeans', 'Cheese', 'SourCream']",4
9,1,Chicken Burrito,"[Fresh Tomato Salsa (Mild), [Black Beans, Rice, Cheese, Sour Cream, Lettuce]]",8.49,8.49,"['FreshTomatoSalsa(Mild)', 'BlackBeans', 'Rice', 'Cheese', 'SourCream', 'Lettuce']",6
9,2,Canned Soda,[Sprite],2.18,1.09,['Sprite'],1
10,1,Chicken Bowl,"[Tomatillo Red Chili Salsa, [Fajita Vegetables, Black Beans, Sour Cream, Cheese, Lettuce]]",8.75,8.75,"['TomatilloRedChiliSalsa', 'FajitaVegetables', 'BlackBeans', 'SourCream', 'Cheese', 'Lettuce']",6
10,1,Chips and Guacamole,,4.45,4.45,,0
11,1,Barbacoa Burrito,"[[Fresh Tomato Salsa (Mild), Tomatillo-Green Chili Salsa (Medium), Tomatillo-Red Chili Salsa (Hot)], [Rice, Cheese, Sour Cream, Lettuce]]",8.99,8.99,"['FreshTomatoSalsa(Mild)', 'Tomatillo-GreenChiliSalsa(Medium)', 'Tomatillo-RedChiliSalsa(Hot)', 'Rice', 'Cheese', 'SourCream', 'Lettuce']",7
11,1,Nantucket Nectar,[Pomegranate Cherry],3.39,3.39,['PomegranateCherry'],1
12,1,Chicken Burrito,"[[Tomatillo-Green Chili Salsa (Medium), Tomatillo-Red Chili Salsa (Hot)], [Pinto Beans, Rice, Cheese, Sour Cream, Guacamole, Lettuce]]",10.98,10.98,"['Tomatillo-GreenChiliSalsa(Medium)', 'Tomatillo-RedChiliSalsa(Hot)', 'PintoBeans', 'Rice', 'Cheese', 'SourCream', 'Guacamole', 'Lettuce']",8
12,1,Izze,[Grapefruit],3.39,3.39,['Grapefruit'],1
13,1,Chips and Fresh Tomato Salsa,,2.39,2.39,,0
13,1,Chicken Bowl,"[Roasted Chili Corn Salsa (Medium), [Pinto Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce]]",8.49,8.49,"['RoastedChiliCornSalsa(Medium)', 'PintoBeans', 'Rice', 'FajitaVeggies', 'Cheese', 'SourCream', 'Lettuce']",7
14,1,Carnitas Burrito,"[[Tomatillo-Green Chili Salsa (Medium), Roasted Chili Corn Salsa (Medium)], [Black Beans, Rice, Sour Cream, Lettuce]]",8.99,8.99,"['Tomatillo-GreenChiliSalsa(Medium)', 'RoastedChiliCornSalsa(Medium)', 'BlackBeans', 'Rice', 'SourCream', 'Lettuce']",6
14,1,Canned Soda,[Dr. Pepper],1.09,1.09,['Dr.Pepper'],1
